Comments,Is Post Date Current Month,Program Account ID Filter,Campaign ID,Campaign Name,Campaign Status,Campaign Topic,Company Name,Country,Currently Authorized,Date Created,Favorites,Followers On Date of Posting,Geographic Region Name,Total Interactions,Likes,Language,Number of Records,Page Views,Partner ID,Post Content,Post Creation Date,Post Date,Posted Indication,Program Name,Retweets,SW Account ID,Send On Date,Social Account ID,Social Name,Social Post ID,Unique Page Views
0,No,True,1807763,HyperScale™ Appliance - Social Content - LinkedIn,Active,HyperScale Appliance,Chi Corporation,United States,No,2/12/2018 11:57:09 AM,0,500,Americas,0,0,,1,0,104635,Read about @Commvault’s ‘Highly-Differentiated Infrastructure’ solutions in @BCWUK http://www.businesscomputingworld.co.uk/news-post/commvault-unveils-highly-differentiated-infrastructure-solutions-with-hyperscale-software-and-appliance-offerings/ …,3/6/2018 5:51:33 PM,4/5/2018 10:00:05 AM,1,AMS Partner Marketing,0,51228,4/5/2018 10:00:00 AM,37784,LinkedIn,1584527,0
0,No,True,1723029,Cloud campaign - Social Content - LinkedIN,Active,,M&S Soluciones SAS - Colombia,United States,No,11/3/2017 8:40:21 AM,0,,Americas,0,0,,1,0,518680,Commvault have been selected by @CRN editorial team as a Cool #Cloud #Storage Vendor - Recognized for creativity & innovation. Check out the press release http://ow.ly/pr4X100YnCt,3/9/2018 1:00:28 PM,,0,Global Partner Marketing,0,53103,4/3/2018 11:00:00 AM,34944,LinkedIn,1585124,0
0,No,True,1723029,Cloud campaign - Social Content - LinkedIN,Active,, Commvault Employee Account - Adam Hilliard,United States,No,9/25/2017 5:22:03 PM,0,,Americas,0,0,,1,0,,Part of the 2020 #cloud crowd? Check the small print - your data isn’t backed-up unless YOU do it in the public cloud...https://t.co/zqZlhibi9L,3/9/2018 1:04:40 PM,,0,AMS CVLT Field,0,51238,4/24/2018 11:00:00 AM,38583,LinkedIn,1585250,0
0,No,True,1763966,Cloud campaign - Twitter - ESP,Active,,Software y Soluciones Softcontrol SA (dba InnovaSys Corp),Ecuador,No,10/12/2017 12:22:23 PM,0,,Americas,0,0,,1,0,111727,"Una buena gestión de #datos permite a una ciudad cambiar a la #nube, mantener la #seguridad y ahorrar costes. Vea cómo.  https://www.youtube.com/watch?v=I5ctiQ2RvHk",10/12/2017 12:22:26 PM,,0,Global Partner Marketing,0,56571,10/12/2017 2:00:00 PM,34805,Twitter,1571544,0
0,No,True,1723029,Cloud campaign - Social Content - LinkedIN,Active,,Software y Soluciones Softcontrol SA (dba InnovaSys Corp),Ecuador,No,3/28/2018 1:37:17 PM,0,500,Americas,0,0,,1,0,111727,"Check it out: @Commvault provides agentless backup and recovery of your #AzureStack VM, including granular recovery of files and folders from a simplified data management platform. Works great with #Cisco's integrated system for AzureStack: https://www.commvault.com/blogs/2018/january/commvault-data-protection-for-cisco-integrated-system-for-microsoft-azure-stack …",3/28/2018 1:37:21 PM,5/10/2018 11:00:17 AM,1,Global Partner Marketing,0,56571,4/19/2018 11:00:00 AM,34804,LinkedIn,1585229,0
0,No,True,1723025,Cloud campaign - Social Content - Twitter,Active,,ThoughtSol Infotech Pvt Ltd,India,No,6/20/2018 1:36:30 AM,0,,APAC,0,0,,1,0,124366,How does a city use #cloud for #backup & #disasterrecovery to better serve citizens? Watch our video https://www.youtube.com/watch?v=I5ctiQ2RvHk,6/20/2018 1:36:44 AM,,0,Global Partner Marketing,0,57698,4/30/2018 2:00:00 PM,39803,Twitter,1584891,0
0,No,True,1763962,Cloud campaign - LinkedIn - ESP,Active,,Ingenieros Profesionales en Comunicaciones SA de CV - Mexico,United States,No,5/24/2018 7:12:37 PM,0,,Americas,2,2,,1,0,519590,¿Está pensando en @azure para la #nube? Descubra el caso práctico de #gestióndedatos de Harper Collins xxxx. https://kapost-files-prod.s3.amazonaws.com/published/57446c22625bd4614000004d/case-study-harpercollins.pdf?kui=P8jr4V2c4_irXkONb_XzxA #Azure,5/24/2018 7:12:38 PM,7/5/2018 4:00:02 PM,1,Global Partner Marketing,0,55824,6/7/2018 4:00:00 PM,37307,LinkedIn,1589627,0
0,No,True,1807763,HyperScale™ Appliance - Social Content - LinkedIn,Active,HyperScale Appliance,Continental Resources Inc,United States,No,5/30/2018 2:09:21 PM,0,,Americas,0,0,,1,0,107048,Why not invest in a #scale-out architecture that lets you simplify and optimize your hardware investment? See what the #Commvault #HyperScale Appliance and its #scale-out architecture has to offer your business. http://[MyWebAddress]/?SwappID=91&RegPageManagedID=3109049&SWThemeID=38377,5/30/2018 2:09:21 PM,,0,AMS Partner Marketing,0,52767,4/18/2018 10:00:00 AM,39494,LinkedIn,1584457,0
0,No,True,1807763,HyperScale™ Appliance - Social Content - LinkedIn,Active,HyperScale Appliance,AwakeTek SA,Panama,No,4/2/2018 11:20:33 AM,0,44,Americas,0,0,,1,0,301642,To manage rising #datastorage & secondary #dataprotection storage demands @esg_global advises a #Scale-out approach http://ow.ly/56rd100R4gq,4/2/2018 11:20:34 AM,4/11/2018 10:00:10 AM,1,AMS Partner Marketing,0,57330,3/14/2018 10:00:00 AM,38948,LinkedIn,1584289,0
0,No,True,1807763,HyperScale™ Appliance - Social Content - LinkedIn,Active,HyperScale Appliance,Continental Resources Inc,United States,No,5/30/2018 2:09:21 PM,0,500,Americas,0,0,,1,0,107048,Backup software specialist Commvault debuts its first hardware product http://tek.io/2zMnDDd,5/30/2018 2:09:21 PM,6/12/2018 11:01:05 AM,1,AMS Partner Marketing,0,52767,3/27/2018 10:00:00 AM,39494,LinkedIn,1584345,0
0,No,True,1763962,Cloud campaign - LinkedIn - ESP,Active,,M&S Soluciones SAS - Colombia,United States,No,10/17/2017 10:41:29 AM,0,,Americas,0,0,,1,0,518680,Quiere usar la #nube y gestionar los #datos de forma segura al mismo tiempo. Puede hacer ambas cosas. https://www.youtube.com/watch?v=1_4EKcRot4Y Mira este video. #Commvault,4/25/2018 5:54:22 PM,,0,Global Partner Marketing,0,53103,5/24/2018 4:00:00 PM,34944,LinkedIn,1589602,0
0,No,True,1807763,HyperScale™ Appliance - Social Content - LinkedIn,Active,HyperScale Appliance,Eagle Technologies,United States,No,1/24/2018 4:55:51 PM,0,,Americas,0,0,,1,0,104311,Backup software specialist Commvault debuts its first hardware product http://tek.io/2zMnDDd,3/6/2018 5:46:13 PM,,0,AMS Partner Marketing,0,47297,4/3/2018 10:00:00 AM,37024,LinkedIn,1584387,0
0,No,True,1723025,Cloud campaign - Social Content - Twitter,Active,,Grupo Dice SA de CV - Mexico,United States,No,9/5/2017 2:28:44 PM,0,,Americas,0,0,,1,0,274985,Do you know the 5 key elements of a #cloud #datamanagement strategy? Find them here https://cloud.kapostcontent.net/pub/7ba70328-4314-4ff6-81d4-267bcb3df8de/5-steps-to-develop-your-cloud-data-management-strategy.pdf,3/7/2018 11:53:57 AM,,0,Global Partner Marketing,0,53152,5/3/2018 2:00:00 PM,38489,Twitter,1584909,0
0,No,True,1795305,HyperScale™ Appliance - Social Content - Twitter,Active,HyperScale Appliance,Eagle Technologies,United States,No,1/24/2018 3:08:51 PM,0,,Americas,0,0,,1,0,104311,How does @Commvault combine their award winning #datamanagement with a #scaleout file system? Find out: Find out: http://[MyWebAddress]/?SwappID=91&RegPageManagedID=3109049&SWThemeID=38377 #data,3/1/2018 5:22:18 PM,,0,AMS Partner Marketing,0,47297,4/12/2018 3:00:00 PM,37025,Twitter,1584004,0
0,No,True,1723025,Cloud campaign - Social Content - Twitter,Active,,Eagle Technologies,United States,No,9/6/2017 4:59:15 PM,0,104,Americas,0,0,,1,0,104311,"Check it out: @Commvault provides agentless backup and recovery of your #AzureStack VM, including granular recovery of files and folders from a simplified data management platform. Works great with #Cisco's integrated system for AzureStack: https://www.commvault.com/blogs/2018/january/commvault-data-protection-for-cisco-integrated-system-for-microsoft-azure-stack …",3/7/2018 11:47:56 AM,4/19/2018 2:00:03 PM,1,Global Partner Marketing,0,47297,4/19/2018 2:00:00 PM,34205,Twitter,1584837,0
